open_hour,threshold,rule,total_net,avg_day,switches,days,opened_days,skipped_days
1,-9999,Always rank-1,18160.00000000057,698.4615384615604,32,26,25,1
1,0,rank-1 + net>0,18160.00000000057,698.4615384615604,32,26,25,1
1,25,rank-1 + net>25,18935.00000000029,728.269230769242,20,26,25,1
1,50,rank-1 + net>50,18349.99999999996,705.7692307692292,13,26,25,1
1,75,rank-1 + net>75,18914.999999999738,727.4999999999899,12,26,25,1
1,100,rank-1 + net>100,18774.999999999804,722.115384615377,10,26,25,1
1,150,rank-1 + net>150,18654.999999999643,717.4999999999862,8,26,25,1
1,200,rank-1 + net>200,18034.999999999476,693.653846153826,5,26,25,1
1,300,rank-1 + net>300,14675.000000000055,564.4230769230791,1,26,25,1
1,500,rank-1 + net>500,14675.000000000055,564.4230769230791,1,26,25,1
2,-9999,Always rank-1,18560.00000000057,713.8461538461759,24,26,25,1
2,0,rank-1 + net>0,18560.00000000057,713.8461538461759,24,26,25,1
2,25,rank-1 + net>25,19140.00000000029,736.1538461538573,16,26,25,1
2,50,rank-1 + net>50,18169.99999999996,698.8461538461523,10,26,25,1
2,75,rank-1 + net>75,17999.99999999995,692.3076923076903,7,26,25,1
2,100,rank-1 + net>100,17860.000000000015,686.9230769230775,5,26,25,1
2,150,rank-1 + net>150,17810.00000000001,685.0000000000005,4,26,25,1
2,200,rank-1 + net>200,17779.999999999978,683.846153846153,2,26,25,1
2,300,rank-1 + net>300,14985.000000000233,576.3461538461628,0,26,25,1
2,500,rank-1 + net>500,14985.000000000233,576.3461538461628,0,26,25,1
3,-9999,Always rank-1,18995.00000000057,730.576923076945,22,26,25,1
3,0,rank-1 + net>0,18995.00000000057,730.576923076945,22,26,25,1
3,25,rank-1 + net>25,19525.00000000029,750.9615384615497,15,26,25,1
3,50,rank-1 + net>50,18554.99999999996,713.6538461538446,9,26,25,1
3,75,rank-1 + net>75,18495.000000000022,711.3461538461547,7,26,25,1
3,100,rank-1 + net>100,18264.999999999927,702.4999999999972,4,26,25,1
3,150,rank-1 + net>150,18214.999999999924,700.5769230769201,3,26,25,1
3,200,rank-1 + net>200,18184.99999999989,699.4230769230727,1,26,25,1
3,300,rank-1 + net>300,18184.99999999989,699.4230769230727,1,26,25,1
3,500,rank-1 + net>500,15794.999999999862,607.4999999999947,0,26,25,1
