open_hour,threshold,rule,total_net,avg_day,switches,opened_days,skipped_days
0,0,rank-1 + net>0,1035.0000000002306,64.68750000001441,17,15,1
0,25,rank-1 + net>25,1600.0000000001196,100.00000000000747,5,15,1
0,50,rank-1 + net>50,1695.0000000000714,105.93750000000446,5,15,1
0,75,rank-1 + net>75,1625.0000000001046,101.56250000000654,4,15,1
0,100,rank-1 + net>100,1385.0000000000207,86.5625000000013,1,15,1
0,150,rank-1 + net>150,1385.0000000000207,86.5625000000013,1,15,1
0,200,rank-1 + net>200,1265.000000000017,79.06250000000107,0,15,1
0,300,rank-1 + net>300,1265.000000000017,79.06250000000107,0,15,1
0,500,rank-1 + net>500,1265.000000000017,79.06250000000107,0,15,1
1,0,rank-1 + net>0,1295.0000000001928,80.93750000001205,15,15,1
1,25,rank-1 + net>25,1880.0000000000268,117.50000000000168,7,15,1
1,50,rank-1 + net>50,2394.999999999945,149.68749999999656,5,15,1
1,75,rank-1 + net>75,2324.999999999978,145.31249999999864,4,15,1
1,100,rank-1 + net>100,2185.0000000000446,136.56250000000279,2,15,1
1,150,rank-1 + net>150,2114.999999999889,132.18749999999307,1,15,1
1,200,rank-1 + net>200,1994.9999999998859,124.68749999999287,0,15,1
1,300,rank-1 + net>300,1994.9999999998859,124.68749999999287,0,15,1
1,500,rank-1 + net>500,1994.9999999998859,124.68749999999287,0,15,1
2,0,rank-1 + net>0,1445.0000000001928,90.31250000001205,12,15,1
2,25,rank-1 + net>25,1935.0000000000268,120.93750000000168,6,15,1
2,50,rank-1 + net>50,2399.999999999945,149.99999999999656,5,15,1
2,75,rank-1 + net>75,2219.999999999907,138.74999999999417,3,15,1
2,100,rank-1 + net>100,2079.999999999973,129.99999999999832,1,15,1
2,150,rank-1 + net>150,2079.999999999973,129.99999999999832,1,15,1
2,200,rank-1 + net>200,1959.9999999999702,122.49999999999814,0,15,1
2,300,rank-1 + net>300,1959.9999999999702,122.49999999999814,0,15,1
2,500,rank-1 + net>500,1959.9999999999702,122.49999999999814,0,15,1
3,0,rank-1 + net>0,1495.0000000001928,93.43750000001205,11,15,1
3,25,rank-1 + net>25,1935.0000000000268,120.93750000000168,6,15,1
3,50,rank-1 + net>50,2399.999999999945,149.99999999999656,5,15,1
3,75,rank-1 + net>75,2329.999999999978,145.62499999999864,4,15,1
3,100,rank-1 + net>100,2099.9999999998868,131.24999999999292,1,15,1
3,150,rank-1 + net>150,2099.9999999998868,131.24999999999292,1,15,1
3,200,rank-1 + net>200,1979.9999999998836,123.74999999999272,0,15,1
3,300,rank-1 + net>300,1979.9999999998836,123.74999999999272,0,15,1
3,500,rank-1 + net>500,1979.9999999998836,123.74999999999272,0,15,1
